Unnamed: 0,Questions,Correct,A,B,C,D
1968,"If the world were a village of 100 people, how many would be homosexual?
",11,1,31,21,11
1070,"MTV describes this show as such: Its one of the wealthiest, most beautiful beachside communities in the world and MTV has unlimited access to the tight-knit power clique of eight rich, beautiful teenagers that live there.
",Laguna Beach,Real World,Inferno 2,Laguna Beach,Power Girls
1086,"Which of these is the study of knowledge?
",epistimology,rheology,epistimology,pulicology,dialitology
3654,"Which character on The Shield uses the alias Cletus Van Damme?
",Shane Vendrell,Dutch Wagenbach,David Aceveda,Shane Vendrell,Ronnie Gardocki
895,"What is the name of Harry Potters brilliant female best friend?
",Hermione Granger,Hermione Granger,Ginny Weasley,Luna Lovegood,None of These
1396,"This ancient Greek philosopher, a teacher of  Aristotle, was the founder of the Academy in Athens.
",Plato,Parmenides,Democritus,Plato,Socrates
922,"Cinnamon is believed to have a beneficial effect in the treatment of which of the following conditions?
",All of these,All of these,Diarrhea,Diabetes,Common cold
1269,"There are two classes of starfish. Name them.
",Sea Star and Brittle Stars,Salt Stars and Fresh Stars,Soft Stars and Hard Stars,Sea Star and Brittle Stars,Common Stars and Rare Stars
2191,"In French, what does non mean?
",No,No,Bye,Hello,Yes
204,"If the doctor orders an EKG, what part of the body is going to be examined?
",Heart,Heart,Brain,Peripheral Nerves,Abdomen
268,"Which group recorded the melancholy ballad Ill Follow the Sun?
",The Beatles,The Rolling Stones,The Doors,The Kinks,The Beatles
3847,"What character has a long time crush on Naruto?
",Hyuuga Hinata,Haruno Sakura,Ayame,Hyuuga Hinata,Tenari
1634,"The Thrilla in Manila, a boxing match between Muhammad Ali and Joe Frazier, was held in which city?
",Quezon City,Pasig City,Cebu City,Davao City,Quezon City
584,"He voiced the adult flower in Bambi and Mr. Stork in Dumbo. He was also the voice of Kaa in Jungle book, of the Cheshire cat in Alice in Wonderland and of the original Honey Nut Bee on the Cheerios commercials. His face may be forgotten, his voice never will. On TV he had a lovable role as Uncle Oscar the inventor on The Adventures of Superman series.
",Sterling Holloway,Buster Keaton,Sterling Holloway,Chuck Mitchell,Benny Hill
3658,"Is the music in the soundclip used in any episode of The Shield series?
",Yes,Yes,No,,
1832,"Who was the first woman to serve on the U.S. Supreme Court?
",Sandra Day OConnor,Celia Amster,Sandra Day OConnor,Ruth Bader Ginsburg,Ada Mae Wilkey
433,"What animal was the number one predator of the Moa?
",An extinct species of eagle,They had no predator they were too large,An extinct species of eagle,An extinct species of lion,An extinct species of wolf
476,"The 1997 movie American Werewolf in Paris was filmed entirely in France.
",False,False,True,,
1964,"In 1967 Pink Floyd released this psychedelic album featuring references to scarecrows, space, satanic cats, bicycles and hobbits. The sound clip is from the albums surrealistic fairy tale Matilda Mother.
",Piper at the Gates of Dawn,Obscured by Clouds,Piper at the Gates of Dawn,A Momentary Lapse of Reason,Dark Side of the Moon
1185,"The Help character Aibilene is put off the bus far from her home due to panic over the assassination of which civil rights leader?
",Medgar Evers,John Lewis,Medgar Evers,"Martin Luther King, Jr.",Malcolm X
349,"Reginald Martinez Jackson, who started his career with the As, earned what nickname?
",Mr. October,Cool Reggie,Mr. October,Billys Headache,Mr. Mouth
425,"Which of these games is rogue-like?
",Ancient Domains of Mystery,Neverwinter Nights,Baldurs Gate,The Elder Scrolls 4 Obvilion,Ancient Domains of Mystery
2331,"This legendary stand-up comedian, has reached world fame and acclaim with numerous blockbusters, such as Beverly Hills Cop, The Nutty Proffesor, Boomerang and many others.
",Eddie Murphy,Chris Rock,Eddie Murphy,Martin Lawrence,Eddie Griffin
1790,"In 1999, Marlene Dietrich was named the ninth greatest female star of all time by the American Film institute.
",True,True,False,,
3944,"The National Peanut Festival is held annually in Alabama, United States during which season?
",Fall,Winter,Summer,Fall,Spring
299,"What is the name of the Peruvian floating islands, located in Lake Titicaca?
",Uros,Chaka,Laka,Uros,Barro
4037,"The acclaimed alternative rock guitarist Burnard Butler was a member of which indie band?
",Suede,Suede,Blur,Oasis,Elastica
1483,"What was the name of the ship that nearly collided with the Titanic in Southampton?
",New York,Caronia,New York,California,Oceanic
1279,"What is the name of the slightly curved single-edged sword used by Japanese samurai warriors?
",Katana,Yari,Katana,Yumi,Teppo
5285,"These lyrics are excerpted from Frankie Smiths one-hit single Double Dutch Bus. People often mishear this lyric as:  Get on the bus, pay your fare. Tell the driver that your dogs going to a Double Dutch Affair.  Which of the following is the proper lyric?
","Get on the bus, pay your fare. Tell the driver that youre going to a Double Dutch Affair.","Get on the bus, pay your fare. Tell the driver that youre going to a Double Dutch Affair.","Get on the bus, case the air. Tell the driver that youre going to a Double Dutch Affair.","Get on the bus, dont forget your fare. Tell the driver that youre going to a Double Dutch Affair.","Keg on the bus, fake the fare, and the drivers gonna take you to a Double Dutch affair."
5503,"The Mynah Birds were a minor group that was signed to Motown in 1966. Its members included Neil Young and Bruce Palmer (both future members of Buffalo Springfield). What other member of this group had quite a bit of success as a solo artist?
",Rick James,Bruce Springstein,Rick James,Rick Springfield,James Taylor
322,"This enormous mythical white bird, which appears in 8th-century Middle-Eastern books, is said to be able to lift and eat even elephants.
",Roc,Medusa,Lordi,Roc,Phoenix
1850,"The Japanese used 4 carriers in the attack on Pearl Harbor.
",False,False,True,,
19,"Lets suppose that I offer you a bet under the following conditions: I bet $1 and claim that if you give me $5 I will give you $99 in return. Will you gain something from this bet?
",No,Yes,No,,
2282,"Marie Antoinette and her husband, the Dauphin of France, consummated their marriage on the wedding night.
",False,False,True,,
2066,"In which gland of the human body can Hurthle cells be found?
",Thyroid gland,Thyroid gland,Thymus gland,Adrenal gland,Pituitary gland
115,"Does Andy and Rogers daughter get notes in her locker in FoxTrot?
",Yes,No,Yes,,
1873,"What year did Gunsmoke debut?
",1955,1955,1958,1956,1957
314,"...Take my life but Ill take yours too, youll fire your musket but Ill run you through... are lyrics appearing in what song by Iron Maiden?
",The Trooper,Running Free,These colors dont run,Die with your boots on,The Trooper
4133,"What did Tami call her orange car in the film Another Cinderella Story?
",great pumpkin,beautiful convertible,old thing,great pumpkin,square orange
145,"The music for Swan Lake, one of the most critically-acclaimed ballets, was written by this composer.
",Pyotr Ilyich Tchaikovsky,Aram Khachaturian,Pyotr Ilyich Tchaikovsky,Stern,Nikolai Rimsky-Korsakov
1386,"This character, who chased villains in Live and Let Die, is the short-tempered U.S. sheriff in The Man with the Golden Gun?
",J.W. Pepper,J.W. Pepper,J.W. Salt,J.W. Vinegar,J.W. Mustard
3400,"How many nights a month does Oz become a werewolf in season 2 of Buffy the Vampire Slayer?
",3,4,3,1,2
4677,"Who was on the cover of the first issue of Rolling Stone magazine?
",John Lennon,Eric Clapton,Jimi Hendrix,Janis Joplin,John Lennon
137,"Do you think God knew what He was doing when he created woman? Or do you think it was another one of his minor mistakes like tidal waves, earthquakes or FLOODS!, asked Daryl Van Horne in The Witches of Eastwick. What actor played Daryl Van Horne, just your average horny little devil?
",Jack Nicholson,Dennis Hopper,Harvey Keitel,Christopher Walken,Jack Nicholson
1876,"What is the name of the saloon ran by Kitty Russell on the show Gunsmoke?
",Long Branch,Kittys Palace,Long Branch,The Light House,Crows Nest
599,"To what group of dog breeds does the Beagle dog breed belong?
",Hound group,Terrier group,Toy group,Herding group,Hound group
4527,"What religion has the largest number of followers among the population of Taiwan?
",Buddhism,Buddhism,Hinduism,Shintoism,I-Kuan Tao
3890,"What is the title of Jesse McCartneys second studio album, released in 2006?
",Right Where You Want Me,Right Where You Want Me,Good Life,None of these,Beautiful Soul
2875,"Who provided the voice for Lewis in the movie Meet the Robinsons?
",Both of these,None of these,Both of these,Jordan Fry,Daniel Hansen
81,"The name of the popular tile game, Dominoes, often considered to be the modern descendant of the dice, originated from which of these?
",Domino masks,Domino masks,Domino parties,The name of the town it was created in,Chinese word for tiles
3118,"In the movie Chinatown, Hollis I. Mulwray owned the water department.
",True,False,True,,
1440,"Mike Marshall and John Slatberger invented this sport in 1972.
",Footbag,Orienteering,Footbag,Seven-man baseball,Frisbee
1035,"One of the best-known tales of Arthurian times is The Sword in the Stone, written by T. H. White.  In the book, the soon-to-be-king, Arthur, is lives with which of these people?
",Sir Ector,King Pellinore,Merlyn,Sir Grummore Grummursum,Sir Ector
897,"How much did Harvard Universitys tuition and fees total for the 1958-1959 school year?
","$1,250","$2,925","$3,225","$1,250","$5,110"
4531,"What is the color of the national flag of Taiwan?
",Red,Green,White,Yellow,Red
2300,"In modern aircraft, the flight crew will consist of 3 persons on the flight deck.
",False,True,False,,
1017,"To form an alliance against Attilas Huns, in 451 the Romans combined armies with which Visigoth leader?
",Theodoric I,Sigfrid II,Athelred,Harald,Theodoric I
1150,"Whose mother was Saint Elizabeth according to the New Testament?
",John the Baptists,Zechariahs,Judas Iscariots,John the Baptists,Bartholomews
3398,"Don McLeans 1971 song American Pie makes references to this celebrity.
",All of these,All of these,Janis Joplin,Mick Jagger,Elvis Presley
246,"This 1988 sci-fi film received 0% from Rotten Tomatoes and critical remarks like more like a TV commercial than a movie (referring to constant reminders of Coca-Cola and McDonalds) and Quite possibly one of the worst movies of the past 435 years. It was trying to cash in on the success of E.T. but ended up being a shameless knockoff. Ronald McDonald received a Razzie for Worst New Star.
",Mac  Me,The Kids Who Knew Too Much,Ben 10: Alien Swarm,Alien from the Deep,Mac  Me
3143,"Will Smith and Jada Pinkett Smiths daughter who was born in 2000 was given this interesting tree name.
",Willow,Ebony,Birch,Pine,Willow
2318,"The 88 Corbett is a Bus line serving which city?
",San Francisco,Detroit,San Francisco,Chicago,New Orleans
2445,"What French actress won a Best Actress Academy Award for her portrayal of famous singer Edith Piaf in La Vie En Rose?
",Marion Cotillard,Juliette Binoche,Sophie Marceau,Audrey Tautou,Marion Cotillard
4685,"What was the last name of the ex-hippie Jim on the hit sitcom Taxi?
",Ignatowski,Ignatowski,Gasparro,Pretakiewicz,Wojciechowski
3694,"Which of these animals is featured on the national coat of arms of Iceland as a protector of the island?
",Bull,Wolf,Bull,Snow leopard,Bear
865,"If you multiply any six consecutive whole numbers the product will be divisible by 8.
",True,True,False,,
1491,"What group included Nils Lofgren, Ray Bittan, Gary Tallent, and Soozie Tyrell?
",The E Street Band,The Eagles,The Dave Mathews Band,Aerosmith,The E Street Band
1766,"What trio of actors, playing characters involved in a love triangle, is not correctly matched with the movie?
","First Knight - Clive Owen, Keira Knightley, Sean Connery","The Notebook (2004) - Ryan Gosling, Rachel McAdams, James Marsden","The Graduate (1967) - Anne Bancroft, Dustin Hoffman, Katharine Ross","First Knight - Clive Owen, Keira Knightley, Sean Connery","The V.I.P.s (1963) - Elizabeth Taylor, Richard Burton, Louis Jourdan"
2636,"Why does Billy  and his girlfriend re-locate and move to California in the movie White Men Cant Jump?
",They are on the run from out of town mobsters.,Glorias dad dies and they have to stay on the west coast for a while.,Gloria gets a good job opportunity in Los Angeles.,They are on the run from out of town mobsters.,They couldnt find work in Iowa.
2409,"What was Thailands previous official name?
",Siam,It has always been called Thailand.,Siam,Lan Na,Bangkok
853,"What was the cause of the fire in the movie The Towering Inferno?
",Faulty electrical wiring,Short circuit in the elevator shaft,A loose lid on a can of kerosene stored in a closet,Faulty electrical wiring,Arson
4442,"The Topkapi Palace is an example of Ottoman architecture and what other architectural style?
",Baroque,Ancient,Gothic,None of these,Baroque
4682,"Watching TV for so long, Al n Yetta enjoyed third reruns of what show?
",The Millionaire,The Millionaire,Dragnet,Perry Mason,Dennis the Menace
588,"Who was the first U.S. President to be impeached?
",Andrew Johnson,Andrew Jackson,Richard M. Nixon,William J. Clinton,Andrew Johnson
2608,"Who was the lead singer of The Darkness from 2000-2006?
",Justin Hawkins,Steve Harwell,Justin Hawkins,Rob Zombie,Richie Edwards
950,"What classic line does Fudge say in Tales of a Fourth Grade Nothing when his mom discovers her flowers are missing?
",ALL GONE yum yum,ALL GONE yum yum,Done the hatch,Not me,"Mmm, mmm, good!"
172,"What indiscretion does Deborah commit during college that ended up on the front page of the paper?
",She got topless at Mardi Gras.,She got drunk.,She went to a nude beach.,She got arrested for lewd behavior.,She got topless at Mardi Gras.
1096,"What is the name of the Eric Clapton song heard here?
",Bell Bottom Blues,Worried Life Blues,Bell Bottom Blues,Walking Blues,San Francisco Bay Blues
1516,"The cooking technique, whereby meats or vegetables are soaked in a flavoring liquid, such as soy sauce, wine, oil, or vinegar, is known as what?
",Marinating,Drenching,Stuffing,Marinating,Dressing
1113,"What was the first name of Richard Chamberlain?
",George,Justin,George,Zachary,King
4028,"What is the official language of Malta?
",Maltese and English,Maltese and English,Maltese and Italian,Italian,Maltese
607,"The Treaty on European Union, that proclaims the creation of the European Union, was signed on February 7, 1992 in this city.
",Maastricht,Belfast,Geneva,Paris,Maastricht
1191,"Tony Hawk is considered the pioneer of what style of skating?
",Vertical skating,Vertical skating,Grind skating,Air skating,Street skating
2394,"Is it true that Sylar from the series Heroes can absorb the powers of another person if he is close to them?
",No,Yes,No,,
702,"The cartoon Top Cat was considered too mature for Saturday mornings, so it was moved to prime time like The Flintstones.
",True,False,True,,
1625,"What phrase did Rod Smart write on the back of his jersey when he played in the XFL?
",He Hate Me,I Am So-Smart,So Very Smart,He Hate Me,The Hefty Lefty
770,"In Back to the Future, when Marty arrives in 1955, where is he?
",Peabody Ranch,On railroad tracks,At George McFlys house,At the mall,Peabody Ranch
619,"During the movie Fast Times at Ridgemont High, Linda becomes pregnant.
",False,False,True,,
2111,"Bill France, Sr. is usually considered the founder of NASCAR. Which race course did Bill France Sr. and Bill France Jr. promote?
","Daytona, Florida","Martinsville, Virginia","Daytona, Florida","Darlington, South Carolina","Talladega, Alabama"
608,"What is the mortality rate of a cheetah cub growing to adulthood?
",95% die,50% die,15% die,65% die,95% die
4091,"In 1978 William Friedkin directed The Brinks Job. The movie was based on the 1950 armed robbery of the Brinks Building in which almost $3 million was stolen. Where did the robbery take place?
","Boston, MA","New York City, NY","Boston, MA","Pittsburgh, PA","Baltimore, MD"
829,"Which of these statements regarding the words imply and infer is correct?
","The speaker implies, the listener infers",All these statements are true,Imply and infer mean exactly the same thing,"The speaker implies, the listener infers","The speaker infers, the listener implies"
765,"What material is used for the making of the traditional hat from Ecuador called Panama hat?
",Straw,Animal skin,Straw,Silk,Wool
162,"Which of the following is not a character depicted by Joseph Heller in his anti-war novel Catch-22?
",Papa Monzano,Papa Monzano,Major Major Major Major,Chief White Halfoat,Dunbar
768,"The Ritz cracker gets its name from Cesar  Ritz, a famous German hotel owner.
",False,False,True,,
2447,"Feel Like Makin Love was a big hit song for this singer in 1974.
",Roberta Flack,Chaka Khan  Rufus,Gladys Knight,Dionne Warwick,Roberta Flack
3109,"In what city was the first permanent drama theater in Europe opened?
","Malaga, Spain","Malaga, Spain","Vilna, Lithuania","Rotterdam, The Netherlands","Bucharest, Romania"
557,"Herman, portrayed by Fred Gwynne on The Munsters, once tried out for which professional baseball team?
",Dodgers,Giants,Dodgers,Indians,Mets
15,"What was the name of the toy shell SpongeBob and Patrick had with them in the Kelp Woods?
",Magic conch shell,Magic Clam shell,Hermit Crab Shell Toy,Spiral,Magic conch shell
766,"He was a Greek who talked incessantly. This got on Zeus nerves so the talkative one was imprisoned  under a fruit tree. Whenever he tried to get one of the fruits, the fruit moved away from him. What was his name?
",Tantalus,Pyhrrus,Dazzalus,Cicero,Tantalus
400,"In the Topper movies, what was the last name of the married ghosts who haunted Topper?
",Kerby,Kerby,King,Krammer,Kingston
1735,"The fictional USS Sea Tiger was captained by Lt. Cmdr. Matt T. Sherman. Who was the first mate?
",Ens. Stovall,Lt. (j.g.) Nicholas Holden,Chief Molumphry,Ens. Stovall,Lt. Dolores Crandall
250,"In this fifth novel in Anne Rices The Vampire Chronicles, Lestat is offered a job by the devil himself. The Devil explains to him many things about heaven and hell, and reveals some of the secrets of the world. What is the title of the novel?
",Memnoch the Devil,Tale of the Body Thief,Inferno,Memnoch the Devil,Devils
561,"Edvin van der Saar is famous as the goalie of Manchester United. What nationality is his name typical of?
",Dutch,Turkish,French,Dutch,Danish
77,"This great explorer found a new continent thinking he had found a new way to India.
",Christopher Columbus,Hernando Cortes,Henry the Navigator,Christopher Columbus,Gaspar Corte Real
2369,"“AaeEmonae” is used in which Native American language to wish a Happy New Year?
",Cheyenne,Creek,Cheyenne,Hawaiian,Texan
392,"Which of the following is part of the game Archon Ultra?
",Valkyrie,Valkyrie,Black Knight,Witch,Orc
199,"Prior to fermentation, one of the phases in the production of whisky, dried malt is soaked in water, sugar gets dissolved, and a this sugary liquid is produced.
",Wort,Peat,Amylase,Still,Wort
266,"Who performed the hit single Sundown, included in the self-titled 1974 album?
",Gordon Lightfoot,Crosby Stills and Nash,America,Arlo Guthrie,Gordon Lightfoot
4224,"This musician played accordion on Born in Time from his album Under the Red Sky.
",Bob Dylan,Bob Dylan,Eddie Cochran,Bob Marley,Ziggy Marley
551,"Even though the first system of this kind, Aspen Movie Map was created in 1977, the term did not get coined till 1989.  Lanier, who coined the term,  is one of the pioneers of the field, founding a company, which built some of the first systems in the 1980s.
",Virtual Reality,Theory of Relativity,Virtual Reality,Parallel Reality,Astral Projection
1508,"Originally called the New Yardbirds, this group changed its name after The Whos Keith Moon and John Entwistle said this new group would fail miserably.
",Led Zeppelin,Bad Company,Led Zeppelin,Firefall,Genesis
340,"What was the name of the country club in the hilarious 80s movie “Caddyshack”?
",Bushwood Country Club,Bushwood Country Club,Dyker Heights Country Club,Jackson Heights Country Club,Beechwood Country Club
984,"The Mike Myers and Graham Gordy  2008 movie The Love Guru” stars Myers, Jessica Alba,  Justin Timberlake, Ben Kingsley and this diminutive former Mike Myers co-star.
",Verne Troyer,Verne Troyer,Jason Acuna,Danny Woodburn,Steve Delano
1703,"What European country was affected the worst by the European Heat Wave of 2003?
",France,France,Italy,Germany,Spain
2734,"The Pittsburgh Pirates moved from Three Rivers Stadium to this ball park at the start of the 2001 season.
",PNC Park,Willie Stargell Stadium,Forbes Field,PNC Park,Federal Field
1083,"This author wrote ‘The Road to Gandolfo’, a story in which the former General MacKenzie Hawkins makes up an outrageous plan to kidnap the Pope and to demand a ransom of $400 million – a dollar for every Catholic in the world.
",Robert Ludlum,Robert Ludlum,Daniel de Silva,Dan Brown,Michael Avallone
3194,"For the 1994s massive movie hit The Lion King Rowan Atkinson gave his voice to this bird character.
",Zazu,Pumbaa,Rafiki,Timon,Zazu
2488,"What was the name of John Waynes horse in the movie True Grit?
",Ol Blue,Star,Ol Buck,Ol Blue,Ol Blacky
149,"In the hit movie The Silence of the Lambs, what did Dr. Hannibal Lecter do before getting nine life sentences in a Baltimore mental institute?
",phychiatrist,phychiatrist,oral surgeon,podiatrist,shoe salesman
722,"How many of the AFI Top Ten American movies were created by foreign-born directors?
",4,2,7,1,4
1896,"I was the third baseman for the Yankees when Dave Righetti threw his no hitter in 1983. Who am I?
",Bert Campaneris,Fred Stanley,Bert Campaneris,Graig Nettles,Mike Pagliarulo
5112,"Edward Mallory was the first and only Bill Horton.
",False,False,True,,
1201,"Name John Denvers fourth album, which was a breakthrough for him in the United States because it contained the single Take Me Home, Country Roads?
","Poems, Prayers and Promises",Back Home Again,"Poems, Prayers and Promises",Rocky Mountain High,"Take Me Home, Country Roads"
1961,"In the 2005 remake of The House of Wax, the wax museum was located in the real town of Ambrose, Louisiana.
",False,True,False,,
388,"A dog gave birth to puppies near the road and was cited for ___________ .
",littering,butchering,badgering,littering,cluttering
164,"What is the name of the 1991 Disney movie this song is from?
",Beauty and the Beast,Mulan,Beauty and the Beast,Pocahontas,The Little Mermaid
2287,"What is the name of the boy who wants to destroy Carlys webshow on the hit television show iCarly?
",Nevel,Jonathan,Nevel,Glenn,Nicholas
2601,"This Dave went all the way from driving a talking car to judging whether or not Americas Got Talent.
",David Hasselhoff,David Hasselhoff,David Schwimmer,David Dukes,Dave Coulier
116,"What American entertainer was born Tula Ellice Finklea on March 8, 1921, in Amarillo, Texas?
",Cyd Charisse,Buddy Ebsen,Tom Selleck,Cyd Charisse,Buddy Hackett
403,"After the 1974 season, the Milwaukee Brewers traded Dave May and Roger Alexander for this slugger.
",Henry Aaron,Robin Yount,Gorman Thomas,Willie Mays,Henry Aaron
1855,"Tuberculosis is an infection, caused by the bacterium Mycobacterium tuberculosis, which most commonly affects the lungs. Among the symptoms of Tuberculosis are fatigue, weakness, coughing and hemoptysis.  What does the term hemoptysis refer to?
",Coughing up blood,Loss of appetite,Frequent urination,Coughing up blood,Night sweats
56,"What southern sitcom, which debuted in 1986, are the following characters from: Julia, Suzanne, Mary Jo, Charlene, Anthony and Bernice?
",Designing Women,Designing Women,Mamas Family,Its A Living,The Golden Girls
3532,"Little Stevie Wonder played the harmonica to this song. Can you figure out the body part mentioned in its title?
",Finger,Arms,Chin,Finger,Elbow
2143,"Ted Kennedy was the youngest of how many children?
",9,2,7,3,9
305,"An elephant was drinking out of a river one day, when he spotted a turtle asleep on a log. So, he ambled on over and kicked it clear across the river. What did you do that for? Asked a passing giraffe. Because I recognized it as the same turtle that took a nip out of my trunk 53 years ago. Wow, what a memory commented the giraffe. Yes, said the elephant. ______________.
",I have turtle recall.,And Im also a great kicker.,I have a memory like an elephant.,I have total recall.,I have turtle recall.
3378,"What do the villains from the War of the Worlds, ranked #27 on the AFIs list of the 50 top villains, have in common with the villain at #14 from the same list?
",They both come from outer space.,"They both are Nazis,","They both are gang leaders,","They both are women,",They both come from outer space.
2000,"What witch is killed when Dorothys house lands on her in the 1939 movie The Wizard of Oz?
",The Wicked Witch of the East,Glinda,The Wicked Witch of the East,The Wicked Witch of the South,The Wicked Witch of the West
4623,"Three of these Amendments have been adopted during the 1920s. Which is the odd one?
",15th Amendment,15th Amendment,18th Amendment,19th Amendment,17th Amendment
785,"The Monkees were a four-man band who appeared in an American television series of the same name, which ran on this channel from 1966 to 1968.
",NBC,ABC,NBC,CBS,PBS
296,"Joe Pesci won an Academy award for his portrayal of Tommy DeVito in the hit movie Goodfellas.
",True,True,False,,
1102,"Nicknamed The Emperor, this fashion designer became known for his red dresses.
",Valentino Garavani,None of these,Georgiou Armani,Gianni Versace,Valentino Garavani
1868,"Who wrote the book on which the war film The Longest Day is based?
",Cornelius Ryan,Cornelius Ryan,Jack Seddon,Roamin Gary,James Jones
697,"He was an important inventor and a much criticized teacher. When he tried to invent a plane, it looked like a flying bee-hive and did not perform well. Who was this man who wanted a law to ban deaf people from marrying?
",Alexander Graham Bell,Don Ameche,Nikolai Tesla,Thomas Alva Edison,Alexander Graham Bell
620,"What is the approximate weight standard, that a Yorkshire Terrier show dog cannot go over?
",No standard,7 lbs,10 lbs,No standard,2 lbs
2966,"What does conchology study?
",Mollusk shells,Reptile skins,Bird feathers,Mollusk shells,"Hairs, nails and quills of mammals"
108,"Which of these most accurately explains the controversial issue of  false memories?
",Memories formed under the influence of misleading suggestions and clues,Memories formed under the influence of misleading suggestions and clues,None of these,Memories lacking coherent and logical rationale,Memories causing false sensations
20,"An edition of Miltons works was bound in:
",Human skin,Human skin,Golden plates,Bears fur,Used newspapers
26,"Which of the following is not generally considered one of the seven deadly sins?
",obfuscation,obfuscation,hatred,lust,envy
418,"The USA owns a territory in the Pacific called  The Commonwealth of the Northern Mariana Islands. What is its capital city?
",Saipan,Pago Pago,Saipan,Agana,Charlotte Amalie
4518,"Singapore created a constitution on June 3, 1959 after achieving full internal self-government.
",True,False,True,,
2055,"Which of the following groups of animals does helminthology study?
",Parasitic worms,External parasites,Oviparous animals,Symbiotic animal species,Parasitic worms
3131,"The birth name of what popular American rapper is Cornell Haynes, Jr.?
",Nelly,Nas,Game,Pras,Nelly
228,"Reggie Jackson was inducted into the Baseball Hall of Fame in 1993. Which team did he start his career with?
",Athletics,Athletics,Angels,Yankees,Orioles
1395,"What was the real first name of the infamous pirate Blackbeard?
",Edward,William,Patrick,Edward,Roger
1444,"What Russian monarch abolished slavery in Russia and converted the household slaves into house serfs?
",Peter the Great,Catherine II the Great,Roman the Great,Peter the Great,Feodor III
764,"Unlike most sharks, the tiger shark does not grow a replacement tooth every time one is lost.
",False,True,False,,
896,"This hairless cat breed originated in Russia.
",All of these,Don Sphynx,Donskoy,Don Hairless,All of these
2140,"Kobe Bryants second daughter is Gianna Maria-Onore Bryant.
",True,False,True,,
2131,"How many Christmas albums did George Strait release in the period 1986-2006?
",3,5,4,2,3
287,"Last night I dreamt I went to Manderley again is the first sentence of this literary work.
",Rebecca,Wuthering Heights,Emma,Jane Eyre,Rebecca
3366,"This symphony, composed by Beethoven in 1800, lasts for just 28 minutes. Many say that it resembles a German drinking song.
",Symphony #1,Symphony #6,Symphony #4,Symphony #1,Symphony #2
2308,"What actress who had a small role in this film as Bianca Torres girlfriend (Debra Feuer),  later went on to fame in a supporting television series role?
","Jane Leeves, Frazier","Jenna Elfman, Dharma and Greg","Jane Leeves, Frazier","Jennifer Garner, Alias","Fran Drescher, The Nanny"
1172,"Who was the first US President to be born in the 19th century?
",Millard Fillmore,Millard Fillmore,John Tyler,Andrew Johnson,Martin Van Buren
3917,"Aqua Teen Hunger Force is a 15 minute show that airs on Cartoon Networks Adult Swim lineup. It is actually a spin-off from another Adult Swim show. What show did the Aqua Teens first appear on?
",Space Ghost Coast 2 Coast,"Harvey Birdman, Attorney at Law",Sealab 2021,Space Ghost Coast 2 Coast,The Brak Show
457,"I dont care if it hurts
",wanna have control,want a perfect body,want a perfect soul,Creep,Creep
3618,"Ryan Stiles, who played Lewis Kiniski on The Drew Carey Show, co-stars with Charlie Sheen on which popular sitcom?
",Two and a Half Men,Two and a Half Men,The Office,How I Met Your Mother,My Name is Earl
3495,"In what year did the movie American Pie hit the theaters?
",1999,1997,1998,2000,1999
2970,"Lepidopterology is a zoological science which studies which of the following?
",Moths and butterflies,Flightless birds,Moths and butterflies,Fossil arthropods,Flying mammals
4467,"The first European settlers arrived in Phuket in the 16th century. What nationality were they?
",Danish,Spanish,French,Danish,Dutch
3359,"Heather Gardner, aka Heather B. had a record called Mr. Sunshine.
",False,True,False,,
536,"Where is Harry Potter when he finds out what the second task of the Triwizard Tournament is about?
",prefects bathroom,prefects bathroom,girls bathroom,teachers bathroom,boys bathroom
2690,"MoNique and Gabourey Sidibe star in this 2009 movie.
",Precious,Homecoming,The White Room,The Bond,Precious
697,"This literary private eye, who works in Southern California, was first introduced in the novel, ‘The Moving Target’.
",Lew Archer,Lew Archer,Ellery Queen,Travis McGee,Paul Temple
206,"Which of the following historic persons makes up a famous duo with Julius Caesar as one half?
",Cleopatra,Octivia the Younger,Ankes-en-aten,Cleopatra,Agrippina
109,"One of the most basic characteristics of our memory is the ability to forget, which is considered to be this type of function.
",Adaptive function,Developing function,Adaptive function,Cognitive function,Protective function
894,"How did Full House characters uncle Jesse and Rebecca meet?
",She worked with Danny.,They met at the grocery store.,She was his neighbor.,She worked with Danny.,They met at a rock concert.
66,"A dwarf is a little humanoid creature with a large head and a long beard, typical for what mythology?
",Scandinavian,Cornish,Scottish,Celtic,Scandinavian
647,"Which Hollywood legends daughter penned the memoir Mommy Dearest?
",Joan Crawford,Joan Crawford,Judy Garland,Katherine Hepburn,Betty Davis
142,"In order to double down in a game of blackjack, your two cards must total exactly what number?
",Any number,Twenty,Eleven,Any number,Ten
3662,"What are the names of Seth MacFarlanes parents?
",Ron and Perry,Mike and Sara,Tom and Kelly,Ron and Perry,Sam and Terry
1890,"This famous Venetian adventurer and author wrote an autobiography, titled Histoire de ma vie.
",Giacomo Casanova,Don Juan,None of these,Giacomo Casanova,Grigori Razputin
788,"She was Miss Moneypenny in 14 of the James Bond films.
",Lois Maxwell,Lon Andrews,Catherine Snab,Sydney Andrews,Lois Maxwell
704,"wanted not association with glittering things and glittering people — he wanted the glittering things themselves.
",The Great Gatsby,Tender Is the Night,The Great Gatsby,The Beautiful and Damned,This Side of Paradise
